rank,title,titleTitle,year,kind,isbn,genres,publisher,primaryPerson,rating,parentalAdvisory,circs,price,kids mode
200,Marvel's Avengers: Age of Ultron: Battle at Avengers Tower,,2015,EBOOK,9.78148E+12,"Action & Adventure, Comics & Graphic Novels, Juvenile Fiction, Media Tie-in, Superheroes",Disney Book Group,Various Authors,,FALSE,1,0.49,TRUE
201,The Quadrail Series,,2017,EBOOK,9.7815E+12,"Action & Adventure, Alien Contact, Fiction, Science Fiction, Space Opera",Open Road Media,Timothy Zahn,,FALSE,1,2.4,FALSE
202,The Destroyer,,2017,AUDIOBOOK,9.78154E+12,Sci-Fi & Fantasy,Tantor Audio,Michael-Scott Earle,,FALSE,1,2.64,FALSE
203,All The Beautiful Lies,,2018,AUDIOBOOK,9.78006E+12,Mystery,HarperAudio,Peter Swanson,,FALSE,1,3.99,FALSE
204,Age Of Ultron,,2013,COMIC,9.7813E+12,"Action & Adventure, Fantasy, Media Tie-In, Superhero, Teen",Marvel Entertainment,Brian Michael Bendis,T,FALSE,1,2.04,FALSE
205,A Refuge Assured,,2018,EBOOK,9.78149E+12,"Christian, Fiction, Historical, Historical, Religious",Baker Publishing Group,Jocelyn Green,,FALSE,1,1.49,FALSE
206,Secret Wars,,2016,COMIC,9.7813E+12,"Superhero, Teen",Marvel Entertainment,Jonathan Hickman,T,FALSE,1,1.74,FALSE
207,Avengers: Time Runs Out Vol. 4,,2015,COMIC,9.7813E+12,"Media Tie-In, Superhero, Teen",Marvel Entertainment,Jonathan Hickman,T,FALSE,1,0.94,FALSE
208,Avengers: Time Runs Out Vol. 2,,2015,COMIC,9.7813E+12,"Media Tie-In, Superhero, Teen",Marvel Entertainment,Jonathan Hickman,T,FALSE,1,0.94,FALSE
209,Avengers: Time Runs Out Vol. 3,,2015,COMIC,9.7813E+12,"Media Tie-In, Superhero, Teen",Marvel Entertainment,Jonathan Hickman,T,FALSE,1,0.94,FALSE
210,Avengers: Time Runs Out Vol. 1,,2015,COMIC,9.7813E+12,"Media Tie-In, Superhero, Teen",Marvel Entertainment,Jonathan Hickman,T,FALSE,1,0.94,FALSE
211,Fear Itself,,2012,COMIC,9.78079E+12,"Superhero, Teen",Marvel Entertainment,Matt Fraction,T,FALSE,1,1.54,FALSE
212,The Nightingale,,2015,AUDIOBOOK,9.78143E+12,Drama,Macmillan Audio,Kristin Hannah,,FALSE,1,3.99,FALSE
213,Forbidden Falls,,2014,EBOOK,9.78146E+12,"Contemporary, Fiction, Romance",MIRA Books,Robyn Carr,,FALSE,1,1.54,FALSE
214,Dead Girl Running,,2018,AUDIOBOOK,9.78149E+12,Romance,Harlequin Audio,Christina Dodd,,FALSE,1,3.99,FALSE
215,Edge of Darkness,,2018,AUDIOBOOK,9.78198E+12,Romance,Blackstone Publishing,Karen Rose,,FALSE,1,2.99,FALSE
216,Taint,,2014,EBOOK,9.78006E+12,"Contemporary, Erotica, Fiction, Romance",HarperCollins Publishers,S. L. Jennings,,FALSE,1,1.99,FALSE
217,The Cat of the Baskervilles,,2018,AUDIOBOOK,9.78152E+12,Mystery,"Dreamscape Media, LLC",Vicki Delany,,FALSE,1,2.99,FALSE
218,No Such Thing As Immortality,,2014,EBOOK,9.78178E+12,"Fantasy, Fiction, Paranormal - Vampires, Romance",Choc Lit,Sarah Tranter,,FALSE,1,1.05,FALSE
219,Narnia Part 1,Walking With CS Lewis - Season 1,2017,TELEVISION,,"Biography, Faith & Inspiration",Christiano Film Group,Tony Ash,TVG,FALSE,1,1.49,FALSE
220,Don't Let the Pigeon Drive the Bus!,,2009,AUDIOBOOK,9.78055E+12,Children's,Weston Woods,Mo Willems,,FALSE,1,0.49,TRUE
221,The Good Neighbor,,2018,AUDIOBOOK,9.78162E+12,Biography,Oasis Audio,Maxwell King,,FALSE,1,2.49,FALSE
222,A Perilous Path,,2018,EBOOK,9.78162E+12,"African American, Civil Rights, Discrimination, History, Political Science, Social Science",The New Press,Sherrilyn Ifill,,FALSE,1,1.49,FALSE
223,A Slice of Heaven,,2015,EBOOK,9.78146E+12,"Contemporary, Fiction, Romance, Women",MIRA Books,Sherryl Woods,,FALSE,1,1.54,FALSE
224,The Myth of Race,,2018,AUDIOBOOK,9.78198E+12,History,Tantor Audio,Robert Wald Sussman,,FALSE,1,2.64,FALSE
225,Only Human (Deluxe),,2018,MUSIC,,Pop,Capitol Records,Calum Scott,,FALSE,1,1.49,FALSE
226,Retrain Your Brain,,2018,AUDIOBOOK,9.78198E+12,Self Help,Blackstone Publishing,"Seth J. Gillihan, PhD",,FALSE,1,0.99,FALSE
227,Planetary Book Two,,2018,COMIC,9.7814E+12,"Mystery, Superhero, Teen",DC Comics,Warren Ellis,T,FALSE,1,2.49,FALSE
228,Poems for Contemplation,,2011,EBOOK,9.78145E+12,"Inspirational & Religious, Poetry, Subjects & Themes",WestBow Press,Nancy DeMotte,,FALSE,1,0.69,FALSE
229,In Prior's Wood,,2018,AUDIOBOOK,9.78152E+12,Mystery,"Dreamscape Media, LLC",G. M. Malliet,,FALSE,1,2.99,FALSE
230,Then She Was Gone,,2018,AUDIOBOOK,9.78152E+12,Fiction,"Dreamscape Media, LLC",Lisa Jewell,,FALSE,1,2.99,FALSE
231,Revolutionary,,2014,EBOOK,9.7814E+12,Young Adult Fiction,Thomas Nelson,Krista McGee,,FALSE,1,1.19,FALSE
232,Anomaly,,2013,EBOOK,9.7814E+12,"Christian - Science Fiction, Dystopian, Religious, Young Adult Fiction",Thomas Nelson,Krista McGee,,FALSE,1,1.19,FALSE
233,Sheets,,2018,COMIC,9.78155E+12,"Children's, Fantasy",Lion Forge Comics,Brenna Thummler,E,FALSE,1,1.29,TRUE
234,The Colonial Post-Captain,,2018,AUDIOBOOK,9.78198E+12,History,Tantor Audio,Chris Durbin,,FALSE,1,2.44,FALSE
235,White Privilege,,2018,EBOOK,9.78168E+12,"History, Juvenile Nonfiction, People & Places, Prejudice & Racism, Social Topics, United States, United States",ABDO,M. T. Blakemore,,FALSE,1,2.49,TRUE
236,Go Set a Watchman,,2015,EBOOK,9.78006E+12,"Classics, Fiction, Literary, Small Town & Rural",HarperCollins Publishers,Harper Lee,,FALSE,1,1.89,FALSE
237,"Girl, Stop Apologizing",,2019,AUDIOBOOK,9.7814E+12,Self Help,HarperCollins Leadership,Rachel Hollis,,FALSE,1,3.99,FALSE
238,Ferrari vs. Lamborghini,,2014,EBOOK,9.78148E+12,"Cars & Trucks, Juvenile Nonfiction, Transportation","The Rosen Publishing Group, Inc",Colin Crum,,FALSE,1,0.99,TRUE
239,Alfa Romeo vs. Maserati,,2014,EBOOK,9.78148E+12,"Cars & Trucks, Juvenile Nonfiction, Transportation","The Rosen Publishing Group, Inc",Colin Crum,,FALSE,1,0.99,TRUE
240,The Color of Compromise,,2019,AUDIOBOOK,9.78031E+12,Religious,Zondervan,Jemar Tisby,,FALSE,1,2.99,FALSE
241,Spiritual Gifts,,2018,AUDIOBOOK,9.78155E+12,Religious,christianaudio.com,Thomas R. Schreiner,,FALSE,1,1.44,FALSE
242,Bride and Prejudice,,2005,MOVIE,,"Comedy, Musicals, Romance",Miramax,Aishwarya Rai Bachchan,PG13,FALSE,1,2.98,FALSE
243,Scary Movie,,2000,MOVIE,,"Comedy, Horror",Miramax,Anna Faris,R,FALSE,1,2.98,FALSE
244,Good Will Hunting,,1998,MOVIE,,Drama,Miramax,Matt Damon,R,FALSE,1,2.98,FALSE
245,Zoom,,2006,MOVIE,,"Action & Adventure, Family",Revolution Studios,Tim Allen,PG,FALSE,1,2.99,TRUE
246,When Secrets Strike,,2015,EBOOK,9.78146E+12,"Cozy, Fiction, Mystery & Detective, Romance, Suspense, Suspense, Thrillers",HQN Books,Marta Perry,,FALSE,1,1.34,FALSE
247,The Girls of Mischief Bay,,2015,EBOOK,9.78146E+12,"Contemporary, Fiction, Romance, Women",MIRA Books,Susan Mallery,,FALSE,1,2.19,FALSE
248,The Long Road Home,,2017,EBOOK,9.78149E+12,"Contemporary, Fiction, Romance, Women",MIRA Books,Mary Alice Monroe,,FALSE,1,1.69,FALSE
249,99 Percent Mine,,2019,AUDIOBOOK,9.78006E+12,Romance,HarperAudio,Sally Thorne,,FALSE,1,3.99,FALSE
250,The Binding,,2019,AUDIOBOOK,9.78006E+12,Romance,HarperAudio,Bridget Collins,,FALSE,1,3.99,FALSE
251,Disney Magical Musical Passport,,2018,MUSIC,,Children's,Walt Disney Records,Various Artists,,FALSE,1,1.49,TRUE
252,Stop Doing That Sh*t,,2019,AUDIOBOOK,9.78006E+12,Self Help,HarperAudio,Gary John Bishop,,FALSE,1,3.99,FALSE
253,The 7 1/2 Deaths of Evelyn Hardcastle,,2018,EBOOK,9.78149E+12,"Fiction, Historical, Literary, Occult & Supernatural, Thrillers",Sourcebooks Inc,Stuart Turton,,FALSE,1,1.29,FALSE
254,Scary Movie 2,,2018,MOVIE,,"Comedy, Horror",Miramax,Anna Faris,R,FALSE,1,2.98,FALSE
255,The Hunger Games (Special Edition),,2018,AUDIOBOOK,9.78134E+12,Teen,Scholastic,Suzanne Collins,,FALSE,1,1.99,FALSE
256,The Sound of Music Live,,2015,MOVIE,,Family,Cinedigm,Kara Tointon,NRC,FALSE,1,2.99,TRUE
257,The Gift of Adult ADD,,2008,EBOOK,9.78161E+12,Self-help,New Harbinger Publications,Lara Honos-Webb,,FALSE,1,0.84,FALSE
258,ACT with Love,,2009,EBOOK,9.78161E+12,"Family & Relationships, Marriage & Long Term Relationships",New Harbinger Publications,Russ Harris,,FALSE,1,1.69,FALSE
259,Emotional Intelligence For Dummies,,2018,AUDIOBOOK,9.78147E+12,Self Help,Gildan Media,"Steven J. Stein, PhD",,FALSE,1,2.44,FALSE
260,Seeing Red,,2018,AUDIOBOOK,9.78134E+12,Children's,Scholastic,Sarah Mlynowski,,FALSE,1,1.29,TRUE
261,Surprise Delivery,,2014,EBOOK,9.78146E+12,"Contemporary, Fiction, Romance",HQN Books,Susan Mallery,,FALSE,1,1.19,FALSE
262,The Visitor,,2016,EBOOK,9.78146E+12,"Fiction, Ghost, Suspense, Thrillers",MIRA Books,Amanda Stevens,,FALSE,1,1.34,FALSE
263,A Radical Guide for Women with ADHD,,2019,EBOOK,9.78168E+12,"Attention-deficit Disorder (add-adhd), Attention Deficit Disorder (add-adhd), Family & Relationships, Health & Fitness, Psychology, Psychopathology, Women's Health",New Harbinger Publications,"Sari Solden, MS, LMFT",,FALSE,1,1.69,FALSE
264,Angel's Peak,,2014,EBOOK,9.78146E+12,"Contemporary, Fiction, Romance",MIRA Books,Robyn Carr,,FALSE,1,1.54,FALSE
265,The Magnetic Girl,,2019,AUDIOBOOK,9.78198E+12,Sci-Fi & Fantasy,Blackstone Publishing,Jessica Handler,,FALSE,1,2.49,FALSE
266,A Plant-Based Life,,2016,EBOOK,9.78081E+12,"Cooking, Diet & Nutrition, Health & Fitness, Natural Foods, Nutrition, Specific Ingredients, Vegetarian",AMACOM,Micaela Cook Karlsen,,FALSE,1,2.09,FALSE
267,Teenage Mutant Ninja Turtles/Ghostbusters II,,2017,COMIC,9.78168E+12,"Action & Adventure, Children's, Horror, Media Tie-In",IDW Publishing,Erik Burnham,E,FALSE,1,0.99,TRUE
268,The House of Spirits,,1994,MOVIE,,"Drama, Romance",Miramax,Meryl Streep,R,FALSE,1,2.98,FALSE
269,Wicked Autumn,,2018,AUDIOBOOK,9.78197E+12,Mystery,"Dreamscape Media, LLC",G. M. Malliet,,FALSE,1,2.99,FALSE
270,Sweet Magnolias Collection Volume 1,,2017,EBOOK,9.78149E+12,"Contemporary, Fiction, Romance, Women",MIRA Books,Sherryl Woods,,FALSE,1,2.04,FALSE
271,The Sinner,,2016,EBOOK,9.78146E+12,"Fiction, Ghost, Suspense, Thrillers",MIRA Books,Amanda Stevens,,FALSE,1,1.69,FALSE
272,"Vermeer, Beyond Time",,2017,MOVIE,,Biography,PBS,,NRC,FALSE,1,1.99,FALSE
273,The Lady From the Black Lagoon,,2019,AUDIOBOOK,9.78149E+12,Biography,Harlequin Audio,Mallory O'Meara,,FALSE,1,3.99,FALSE
274,A Virgin River Christmas,,2018,EBOOK,9.78149E+12,"Contemporary, Fiction, Holiday, Romance, Small Town & Rural",MIRA Books,Robyn Carr,,FALSE,1,1.69,FALSE
275,What's Beyond Mindfulness?,,2019,AUDIOBOOK,9.78197E+12,"Religious, Self Help","Dreamscape Media, LLC",Stephen Fulder,,FALSE,1,2.99,FALSE
276,Batman Vol. 8: Cold Days,,2018,COMIC,9.7814E+12,"Action & Adventure, Crime, Media Tie-In, Superhero, Teen",DC Comics,Tom King,T,FALSE,1,2.49,FALSE
277,Avengers By Brian Michael Bendis Vol. 1,,2018,COMIC,9.78079E+12,"Action & Adventure, Media Tie-In, Superhero, Teen",Marvel Entertainment,Brian Michael Bendis,T,FALSE,1,1.14,FALSE
278,Earth Magic,,2003,EBOOK,9.78163E+12,"Body, Mind & Spirit, Esp (clairvoyance, Precognition, Telepathy), Parapsychology, Religion, Wicca, Witchcraft",Red Wheel Weiser,Marion Weinstein,,FALSE,1,1.79,FALSE
279,An Unfinished Life,,2005,MOVIE,,"Drama, Romance",Miramax,Jennifer Lopez,PG13,FALSE,1,2.98,FALSE
280,Forever My Hero,,2019,AUDIOBOOK,9.78198E+12,Romance,Tantor Audio,Sharon Sala,,FALSE,1,2.14,FALSE
281,Colony Mars,,2017,AUDIOBOOK,9.78199E+12,Sci-Fi & Fantasy,Findaway Voices,Gerald M. Kilby,,FALSE,1,2.69,FALSE
282,Locke & Key Vol. 5: Clockworks,,2012,COMIC,9.78168E+12,"Horror, Mystery",IDW Publishing,Joe Hill,M,FALSE,1,0.99,FALSE
