rank,title,titleTitle,year,kind,isbn,genres,publisher,primaryPerson,rating,parentalAdvisory,circs,price,kids mode
336,Voice Lessons,,2019,AUDIOBOOK,9.78152E+12,"Biography, Living",Tantor Audio,Rob Paulsen,,FALSE,1,1.84,FALSE
337,Green Arrow's Perfect Shot,,2019,EBOOK,9.78168E+12,"Action & Adventure, Juvenile Fiction, Superheroes",Abrams,Barry Lyga,,FALSE,1,0.64,TRUE
338,The Getaway,,2017,EBOOK,9.78168E+12,"Humorous Stories, Juvenile Fiction",Abrams,Jeff Kinney,,FALSE,1,0.69,TRUE
339,The Long Haul,,2014,EBOOK,9.78161E+12,"Humorous Stories, Juvenile Fiction",Abrams,Jeff Kinney,,FALSE,1,0.69,TRUE
340,Rodrick Rules,,2012,EBOOK,9.78161E+12,"Humorous Stories, Juvenile Fiction",Abrams,Jeff Kinney,,FALSE,1,0.69,TRUE
341,Redeeming Love,,2013,EBOOK,9.78178E+12,"Fiction, Historical, Romance",Lion Hudson,Francine Rivers,,FALSE,1,0.74,FALSE
342,Something Smells/Bossy Boots,SpongeBob SquarePants - Season 2,2000,TELEVISION,,Children's,Nickelodeon,Tom Kenny,TVY7,FALSE,1,1.99,TRUE
343,John Grisham's The Rainmaker,,1997,MOVIE,,Drama,Paramount Pictures,Matt Damon,PG13,FALSE,1,2.99,FALSE
344,Bloody Trail of the Mountain Man,,2019,EBOOK,9.78079E+12,"Action & Adventure, Fiction, Historical, Westerns",Pinnacle Books,William W. Johnstone,,FALSE,1,0.99,FALSE
345,Beachside Beginnings,,2020,AUDIOBOOK,9.78149E+12,Fiction,Harlequin Audio,Sheila Roberts,,FALSE,1,3.99,FALSE
346,Beneath the Cloud of Doom,,2020,AUDIOBOOK,9.78006E+12,"Children's, Fiction",HarperCollins,Louis Sachar,,FALSE,1,3.99,TRUE
347,The Queen's Secret,,2020,AUDIOBOOK,9.78006E+12,Fiction,HarperAudio,Karen Harper,,FALSE,1,3.99,FALSE
348,Ripe for Vengeance,,2019,AUDIOBOOK,9.78197E+12,Mystery,"Dreamscape Media, LLC",Wendy Tyson,,FALSE,1,2.99,FALSE
349,The Girls with No Names,,2020,AUDIOBOOK,9.78149E+12,Fiction,Harlequin Audio,Serena Burdick,,FALSE,1,3.99,FALSE
350,Now You See Them,,2019,AUDIOBOOK,9.78036E+12,Mystery,Houghton Mifflin Harcourt,Elly Griffiths,,FALSE,1,1.69,FALSE
351,The Concordia Deception,,2018,EBOOK,9.78139E+12,"Action & Adventure, Fiction",J.J. Green,J.J. Green,,FALSE,1,0.99,FALSE
352,Say Yes to the Duke,,2020,AUDIOBOOK,9.78006E+12,Romance,HarperAudio,Eloisa James,,FALSE,1,3.99,FALSE
353,Frozen 2 - Original Motion Picture Soundtrack/Deluxe Edition,,2019,MUSIC,,"Children's, Soundtrack",Walt Disney Records,Various Artists,,FALSE,1,1.49,TRUE
354,Frozen 2,,2019,MUSIC,,Soundtrack,Walt Disney Records,Various Artists,,FALSE,1,1.49,FALSE
355,Minecraft: Stories from the Overworld,,2019,COMIC,9.78151E+12,"Action & Adventure, Children's, Media Tie-In",Dark Horse Comics,Hope Larson,E,FALSE,1,0.44,TRUE
356,Enneagram,,2019,AUDIOBOOK,9.78198E+12,Self Help,Author's Republic,John Heffner,,FALSE,1,1.29,FALSE
357,If I Were You,,2020,EBOOK,9.7815E+12,"Christian, Fiction, Historical, Historical, Historical - 20th Century, Romance, World War II","Tyndale House Publishers, Inc.",Lynn Austin,,FALSE,1,0.79,FALSE
358,Frozen 2,,2019,MUSIC,,Soundtrack,Walt Disney Records,Various Artists,,FALSE,1,1.49,FALSE
359,Frozen 2,,2019,MUSIC,,Soundtrack,Walt Disney Records,Various Artists,,FALSE,1,1.49,FALSE
360,Star Wars Vol. 10: The Escape,,2019,COMIC,9.7813E+12,"Media Tie-In, Sci-Fi, Teen",Marvel Entertainment,Kieron Gillen,T,FALSE,1,1.14,FALSE
361,The Last Mrs. Parrish,,2017,EBOOK,9.78006E+12,"Fiction, Psychological, Suspense, Thrillers, Women",HarperCollins Publishers,Liv Constantine,,FALSE,1,2.49,FALSE
362,Plants vs. Zombies: Garden Warfare Vol. 3,,2019,COMIC,9.78151E+12,,Dark Horse Comics,Paul Tobin,E,FALSE,1,0.34,TRUE
363,"Grantville Gazette, Volume III",,2020,AUDIOBOOK,9.78154E+12,Sci-Fi & Fantasy,Tantor Audio,Eric Flint,,FALSE,1,2.44,FALSE
364,Home To Stay,,2020,AUDIOBOOK,9.78198E+12,Christian Fiction,Tantor Audio,Loree Lough,,FALSE,1,2.44,FALSE
365,The New Jim Crow,,2020,EBOOK,9.78162E+12,"Civil Rights, Criminal Law, Criminology, Law, Political Science, Social Science",The New Press,Michelle Alexander,,FALSE,1,1.99,FALSE
366,Me and White Supremacy,,2020,AUDIOBOOK,9.78109E+12,"Inspirational, Self Help",Blackstone Publishing,Layla F. Saad,,FALSE,1,2.49,FALSE
367,She Walks in Love,,2019,AUDIOBOOK,9.78109E+12,"Christian Romance, Romance",Findaway Voices,Marylu Tyndall,,FALSE,1,2.29,FALSE
368,Sunrise on Half Moon Bay,,2020,AUDIOBOOK,9.78149E+12,Romance,Harlequin Audio,Robyn Carr,,FALSE,1,3.99,FALSE
369,The Healer,,2018,MOVIE,,"Drama, Family",Vision Films,Camilla Luddington,NRC,FALSE,1,1.99,TRUE
370,The Woman in the Window,,2018,EBOOK,9.78006E+12,"Crime, Fiction, Psychological, Suspense, Thrillers",HarperCollins,A. J. Finn,,FALSE,1,2.49,FALSE
371,Torrid Little Affair,,2017,EBOOK,1.23E+12,"Fiction, New Adult, Romance",Kendall Ryan,Kendall Ryan,,FALSE,1,1.29,FALSE
372,Follow The Leader,,2019,AUDIOBOOK,9.78736E+12,Business,BN Publishing,John Maxwell,,FALSE,1,1.29,FALSE
373,A Class of Conjuring,,2020,EBOOK,9.781E+12,"Fantasy, Fiction, Paranormal, Paranormal, Paranormal - Witches, Romance, Romantic",Wisteria Lane Press,Evie Wilde,,FALSE,1,0.49,FALSE
374,Tempest Rising,,2019,AUDIOBOOK,9.78109E+12,"Action & Adventure, Sci-Fi & Fantasy",Findaway Voices,Eric Warren,,FALSE,1,1.69,FALSE
375,Mindfulness For Dummies,,2020,AUDIOBOOK,9.78149E+12,Self Help,Tantor Audio,Shamash Alidina,,FALSE,1,2.64,FALSE
376,Writers & Lovers,,2020,EBOOK,9.7808E+12,"Fiction, Literary, Small Town & Rural, Women",Grove Atlantic,Lily King,,FALSE,1,2.69,FALSE
377,Stargate Origins,,2018,MOVIE,,"Action & Adventure, Sci-Fi & Fantasy",MGM,Shvan Aladdin,NRT,FALSE,1,2.99,FALSE
378,El Extranjero,,2019,AUDIOBOOK,9.78276E+12,Classics,BN Publishing,Albert Camus,,FALSE,1,0.99,FALSE
379,1984 - Radio BBC,,2019,AUDIOBOOK,9.78348E+12,Fiction,BN Publishing,George Orwell,,FALSE,1,1.29,FALSE
380,The Best Bride,,2019,EBOOK,9.78149E+12,"Contemporary, Fiction, Romance, Small Town & Rural",Harlequin,Susan Mallery,,FALSE,1,1.54,FALSE
381,Truth: A Brief History of Total Bullsh*t,,2020,AUDIOBOOK,9.78149E+12,"Comedy, Science & Technology",Harlequin Audio,Tom Phillips,,FALSE,1,3.99,FALSE
382,A Woodland Miracle,,2020,AUDIOBOOK,9.78079E+12,"Christian Romance, Romance",Thomas Nelson,Ruth Reid,,FALSE,1,2.99,FALSE
383,"On Tyranny: Twenty Lessons from the Twentieth Century by Timothy Snyder: Key Takeaways, Summary &",,2020,AUDIOBOOK,9.78198E+12,Political,Author's Republic,Ninja Reads,,FALSE,1,0.69,FALSE
384,Teenage Mutant Ninja Turtles/Ghostbusters Deluxe Edition,,2017,COMIC,9.78168E+12,"Action & Adventure, Horror, Media Tie-In, Teen",IDW Publishing,Erik Burnham,T,FALSE,1,0.99,FALSE
385,Thor Vol. 2: Road to War of the Realms,,2020,COMIC,9.7813E+12,"Media Tie-In, Superhero, Teen",Marvel Entertainment,Jason Aaron,T,FALSE,1,0.94,FALSE
386,The Mountains Sing,,2020,AUDIOBOOK,9.78169E+12,Fiction,"Dreamscape Media, LLC",Nguyễn Phan Quế Mai,,FALSE,1,1.99,FALSE
387,Where the Light Enters,,2020,AUDIOBOOK,9.78198E+12,Fiction,Blackstone Publishing,Sara Donati,,FALSE,1,2.99,FALSE
388,The Secret Garden,,2020,AUDIOBOOK,9.78152E+12,"Children's, Classics",Alison Larkin Presents,Frances Hodgson Burnett,,FALSE,1,1.69,TRUE
